CAR__ID,date,Customer   Name,GENDER,Annual Income ($),DEALER_NAME,COMPANY,Model,Engine Type,Transmission,Color,Price,Dealer_No,Body_Style,Phone_Number,Region
C_CND_000018,01-02-2022,Zoey,Female,570000,Chrysler of Tri-Cities,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Automatic,Pale White,31000,99301-3882,Passenger,7456650,Pasco
C_CND_000019,01-02-2022,Aaliyah,Male,685000,Chrysler Plymouth,  Toyota ,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,33000,53546-9427,SUV,7627010,Janesville
C_CND_000020,01-02-2022,Abigail,M,455000,Classic Chevy,,Accord,DoubleÂ Overhead Camshaft,A,Pale White,21000,85257-3102,Sedan,6736704,Scottsdale
C_CND_000021,01-02-2022,Adrianna,Male,"$13,500",Clay Johnson Auto Sales,Toyota, 4Runner,Overhead Camshaft,M,Black,25000,78758-7841,Sedan,7889827,Austin  
C_CND_000022,01-02-2022,Joshua,Male,2500000,Classic Chevy,Infiniti,I30,DoubleÂ Overhead Camshaft,auto,Black,21000,85257-3102,Hardtop,6183219,Austin
C_CND_000023,01-02-2022,,Male ,585000,Diehl Motor CO Inc,Audi, A4,Overhead Camshaft,Manual,Pale White,undisclosed,06457-3834,Hardtop,8097778,Middletown
C_CND_000024,01-02-2022,Arthur,male,920000,Star Enterprises Inc,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,99301-3882,Passenger,7959858,Pasco
C_CND_000025,,Lizzie,Male,672000,Suburban Ford,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,53546-9427,Passenger,8570849,Janesville
C_CND_000026,unknown,Florian,Male ,801250,Tri-State Mack Inc,Dodge,Viper,DoubleÂ Overhead Camshaft,auto,Pale White,undisclosed,85257-3102,SUV,8520534,Scottsdale
C_CND_000027,01-02-2022,Cassandre,,820000,U-Haul CO,Buick,,DoubleÂ Overhead Camshaft,Auto,Black,19000,78758-7841,Passenger,6362556,Austin
C_CND_000028,01-02-2022,Syrielle,M,791000,Progressive Shippers Cooperative Association No,Chrysler,LHS,Overhead Camshaft,M,Pale White,41000,53546-9427,Hatchback,6281210,Janesville
C_CND_000029,01-02-2022,Sloane,Male,13500,Race Car Help,CHRYSLER, LHS,Overhead Camshaft,manual,Pale White,41000,78758-7841,Hatchback,6292720,Janesville
C_CND_000030,01-02-2022,Sofia,Male,1020000,Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,M,Pale White,,06457-3834,Hatchback,7698986,Scottsdale
C_CND_000031,01-02-2022,Sophia,Male,210000,Saab-Belle Dodge,  Mitsubishi ,3000GT,Overhead Camshaft,Manual ,Pale White,20000,60504-7114,Sedan,8847858,Austin
C_CND_000032,01-02-2022,,Male,750000,Scrivener Performance Engineering,Mercedes-Benz,SLK230,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hatchback,8344679,Middletown
C_CND_000033,01-02-2022,Stella,Male,635000,Star Enterprises Inc,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,Sedan,6827044,Aurora
C_CND_000034,01-02-2022,Suri,Male,675000,Tri-State Mack Inc,honda,Civic,,Manual,Black,43000,85257-3102,Hatchback,7954038,Greenville
C_CND_000035,01-02-2022,Sury,Male ,880000,U-Haul CO,JAGUAR, S-Type,DoubleÂ Overhead Camshaft,Auto,Black,16000,78758-7841,Passenger,7400390,Pasco
C_CND_000036,01-03-2022,Haley,Male,13500,Diehl Motor CO Inc,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,06457-3834,Sedan,7153628,Middletown
C_CND_000037,01-03-2022,Hannah,Male,13500,Enterprise Rent A Car,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,auto,Pale White,21000,60504-7114,SUV,6125796,Aurora  
C_CND_000038,03-01-2022,Haylee,Male,13500,Gartner Buick Hyundai Saab,BUICK, Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,38701-8047,Hatchback,7438037,Greenville
C_CND_000039,01-03-2022,Hayley,Male,"$941,000",Hatfield Volkswagen,MITSUBISHI, Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,99301-3882,SUV,6837588,Pasco
C_CND_000040,01-03-2022,Harry,Female,"$13,500",Star Enterprises Inc,  Nissan , Sentra,DoubleÂ Overhead Camshaft,auto,Black,16000,99301-3882,Passenger,7213857,Pasco
C_CND_000041,01-03-2022,Henry,Male,13500,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,manual,Pale White,26000,53546-9427,Sedan,7704004,Janesville
C_CND_000042,01-03-2022,Hersh,F,13500,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000,85257-3102,Sedan,8018700,Scottsdale
C_CND_000043,01-03-2022,Hershel,male,967500,U-Haul CO,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42500,78758-7841,Passenger,6793858,Austin
C_CND_000044,01-03-2022,Aicha,male,600000,Diehl Motor CO Inc,MITSUBISHI,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45001,06457-3834,Hatchback,6739543,Middletown
C_CND_000045,03-01-2022,Aisha,M,575000,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36001,60504-7114,Hatchback,6091237,Aurora
C_CND_000046,01-03-2022,Aissatou,male,566000,Gartner Buick Hyundai Saab,Mercedes,C-Class,Overhead Camshaft,Manual,Pale White,12000,38701-8047,Hatchback,6547535,Greenville  
C_CND_000047,03-01-2022,Alana,M,1250000,Hatfield Volkswagen,BMW, 323i,Overhead Camshaft,M,Pale White,21001,99301-3882,Hatchback,8689761,Pasco
C_CND_000048,01-03-2022,,male,730000,Rabun Used Car Sales,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,29000,85257-3102,Hatchback,6404807,Scottsdale
C_CND_000049,03-01-2022,Valentine,Male,4060000,Race Car Help,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,78758-7841,Hatchback,7117432,Austin
C_CND_000050,01-03-2022,Aurore,Male ,13500,Ryder Truck Rental and Leasing,,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,06457-3834,SUV,7836930,Middletown
C_CND_000051,01-03-2022,Nikita,Male ,1180000,Saab-Belle Dodge,DODGE,Stratus,DoubleÂ Overhead Camshaft,Automatic,Pale White,31000,60504-7114,Hatchback,7316398,Aurora  
C_CND_000052,,Justine,male,1360000,Progressive Shippers Cooperative Association No,audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,53546-9427,Hardtop,7680267,Austin
C_CND_000053,01-03-2022,Sylvia,,640000,C & M Motors Inc,Mercury, Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000,60504-7114,Hatchback,6402878,Scottsdale
C_CND_000054,01-03-2022,Chloe,Male,615000,Scrivener Performance Engineering,Chevrolet,Malibu,,Manual,Pale White,14000,38701-8047,Hardtop,7890478,Middletown
C_CND_000055,01-03-2022,Tamar,Male,520000,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Manual,Pale White,17000,99301-3882,SUV,8523869,Middletown  
C_CND_000056,01-04-2022,Hazel,Male,1876000,Iceberg Rentals,Saturn,SW,DoubleÂ Overhead Camshaft,Automatic,Pale White,,53546-9427,Passenger,8852693,Janesville
C_CND_000057,01-04-2022,Heaven,male,13500,McKinney Dodge Chrysler Jeep,Volvo, C70,Overhead Camshaft,Manual,Black,17000,85257-3102,Hatchback,6444851,Scottsdale
C_CND_000058,01-04-2022,Heidi,Male,13500,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,21000,78758-7841,SUV,6052630,Austin  
C_CND_000059,01-04-2022,Hershy,male,890000,Buddy Storbeck's Diesel Service Inc,Mercedes,C-Class,Overhead Camshaft,manual,Pale White,12000,06457-3834,Hatchback,8939776,Middletown
C_CND_000060,01-04-2022,Hudson,Male ,1800000,C & M Motors Inc,Mercedes,SLK,Overhead Camshaft,Manual ,Pale White,17000,60504-7114,Passenger,7177888,Aurora
C_CND_000061,01-04-2022,Amare,Male,1330000,Ryder Truck Rental and Leasing,TOYOTA,Tacoma,Overhead Camshaft,M,Black,36000,06457-3834,Hardtop,6139882,Janesville
C_CND_000062,01-04-2022,Alexandria,Male,-50000,Iceberg Rentals,Mercedes-Benz,C-Class,Overhead Camshaft,manual,Pale White,17000,53546-9427,Hatchback,7181009,Janesville  
C_CND_000063,01-04-2022,Alexis,Male,440000,McKinney Dodge Chrysler Jeep,Mercedes-Benz,M-Class,Overhead Camshaft,Manual,Pale White,41000,85257-3102,Hatchback,7936565,Austin
C_CND_000064,,Alyssa,Female,280000,Nebo Chevrolet,Audi,A6,DoubleÂ Overhead Camshaft,Automatic,Black,14000,06457-3834,SUV,7419754,Middletown
C_CND_000065,01-04-2022,Coline,Male,1151000,Scrivener Performance Engineering,Dodge, Intrepid,DoubleÂ Overhead Camshaft,Auto,Pale White,31100,38701-8047,Sedan,8637804,Greenville
C_CND_000066,01-04-2022,Annaelle,Male,1650000,Star Enterprises Inc,Buick, Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,99301-3882,Hatchback,8380613,Pasco
C_CND_000067,01-04-2022,Anais,male,13500,Suburban Ford,Dodge, Viper,,Manual,Black,26000,53546-9427,SUV,6595676,Janesville
C_CND_000068,01-04-2022,Taylor,M,"$895,000",Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,manual,Black,12000,53546-9427,Passenger,7244029,Aurora
C_CND_000069,04-01-2022,Tessa,Femal,660000,Classic Chevy,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,"$42,000",85257-3102,Sedan,6741165,Greenville
C_CND_000070,01-04-2022,Toby,male,13500,Clay Johnson Auto Sales,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Automatic,Pale White,21000,78758-7841,Hatchback,8822935,Pasco
C_CND_000071,05-01-2022,Heidy,male,1636000,Nebo Chevrolet,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Automatic,Pale White,22600,06457-3834,SUV,8026457,Middletown
C_CND_000072,01-05-2022,Helen,Female,1000000,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,45000,60504-7114,Passenger,8872334,Aurora
C_CND_000073,01-05-2022,Imani,Female,745000,Pars Auto Sales,  Mitsubishi ,Eclipse,Overhead Camshaft,Manual,Black,,38701-8047,SUV,6204993,Greenville
C_CND_000074,01-05-2022,Ingrid,Male ,300000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,DoubleÂ Overhead Camshaft,Automatic,Pale White,62000,99301-3882,Sedan,7031644,Pasco
C_CND_000075,01-05-2022,Irene,Male,1097000,Progressive Shippers Cooperative Association No,volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,22700,53546-9427,Passenger,7179280,Janesville
C_CND_000076,01-05-2022,Iris,Femal,542000,Rabun Used Car Sales,MITSUBISHI,Montero Sport,,Auto,Black,45000,85257-3102,SUV,6245275,Scottsdale
C_CND_000077,01-05-2022,Hunter,Male,1200000,Chrysler of Tri-Cities,lincoln, Town car,Overhead Camshaft,Manual,Black,17000,99301-3882,Hatchback,7072635,Pasco
C_CND_000078,01-05-2022,James,Male,"$490,000",Motor Vehicle Branch Office,  Ford ,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,6766211,Austin
C_CND_000079,01-05-2022,Ilan,male,410000,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,Black,15000,85257-3102,SUV,8011357,Scottsdale  
C_CND_000080,01-05-2022,Isaac,male,930000,Clay Johnson Auto Sales,Acura,TL,DoubleÂ Overhead Camshaft,Automatic,Black,28000,78758-7841,Hatchback,7539127,Austin
C_CND_000081,01-05-2022,Aaron,Male,480000,Tri-State Mack Inc,Nissan, Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,85257-3102,Hardtop,6559063,Greenville
C_CND_000082,01-05-2022,Israel,,1360000,Enterprise Rent A Car,Ford,,Overhead Camshaft,Manual ,Pale White,43000,60504-7114,Hatchback,8082987,Aurora
C_CND_000083,01-05-2022,Amara,Male,2200000,New Castle Ford Lincoln Mercury,  Oldsmobile , Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,60504-7114,Sedan,7328070,Aurora
C_CND_000084,01-05-2022,Amaya,Female,1100000,Pars Auto Sales,,,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,38701-8047,SUV,7078803,Greenville  
C_CND_000085,01-05-2022,Amelia,Male ,13500,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,22001,99301-3882,Hatchback,8636283,Pasco
C_CND_000086,05-01-2022,Amia,male,1700000,Progressive Shippers Cooperative Association No,VOLKSWAGEN, Cabrio,,Manual,Pale White,25001,53546-9427,Sedan,7109521,Janesville
C_CND_000087,unknown,Amina,Male,1908000,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12800,85257-3102,Sedan,7305344,Scottsdale
C_CND_000088,05-01-2022,Aminata,,"$13,500",Race Car Help,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Black,26000,78758-7841,SUV,8941079,Austin
C_CND_000089,01-05-2022,Alizee,M,13500,Tri-State Mack Inc,  BMW ,328i,DoubleÂ Overhead Camshaft,Auto,Black,18000,85257-3102,Sedan,6136111,Scottsdale
C_CND_000090,01-05-2022,Caroline,M,2550000,U-Haul CO,Oldsmobile, Bravada,DoubleÂ Overhead Camshaft,auto,Pale White,19000,78758-7841,Hatchback,8001444,Austin
C_CND_000091,01-05-2022,Wadia,M,1245000,Buddy Storbeck's Diesel Service Inc,  Nissan ,Maxima,Overhead Camshaft,Manual,Pale White,22500,06457-3834,Sedan,7696195,Middletown
C_CND_000092,01-05-2022,Mauricio,Male,-50000,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,78758-7841,Hardtop,8188037,Austin
C_CND_000093,01-05-2022,Maximilian,Male,1115000,Saab-Belle Dodge,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Automatic,Pale White,46500,60504-7114,Hardtop,8351089,Aurora
C_CND_000094,01-05-2022,Elisa,MALE,-50000,Chrysler of Tri-Cities,Chrysler, 300M,,Automatic,Pale White,16000,99301-3882,SUV,6130679,Pasco
C_CND_000095,01-05-2022,Tzipora,M,2110000,Diehl Motor CO Inc,  Volvo ,V70,DoubleÂ Overhead Camshaft,Auto,Black,39000,06457-3834,Passenger,6260413,Janesville  
C_CND_000096,01-05-2022,Tziporah,Femal,13500,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,manual,Black,19000,60504-7114,SUV,8750989,Scottsdale
C_CND_000097,05-01-2022,Tzippy,Male,"$1,050,000",Gartner Buick Hyundai Saab,,LHS,,Automatic,Black,26000,38701-8047,Hatchback,6784534,Austin
C_CND_000098,01-05-2022,Tzivia,Male,13500,Hatfield Volkswagen,  Honda ,Accord,Overhead Camshaft,M,Black,43000,99301-3882,Sedan,7944735,Janesville
C_CND_000099,01-05-2022,Valentina,Female,13500,Iceberg Rentals,Nissan, Maxima,Overhead Camshaft,Manual,Pale White,54000,53546-9427,Sedan,8099375,Scottsdale
C_CND_000100,01-05-2022,Valerie,Male,320000,McKinney Dodge Chrysler Jeep,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,85257-3102,SUV,6641303,Austin
C_CND_000101,01-06-2022,Isabel,M,13500,Race Car Help,  Lexus ,ES300,DoubleÂ Overhead Camshaft,Auto,Black,16001,78758-7841,SUV,8158584,Austin
C_CND_000102,01-06-2022,Isabela,,760000,Ryder Truck Rental and Leasing,BMW,328i,DoubleÂ Overhead Camshaft,A,Black,16001,06457-3834,Sedan,7159142,Middletown
C_CND_000103,01-06-2022,Ivan,Male,1390000,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,38701-8047,SUV,7495544,Greenville
C_CND_000104,01-06-2022,Abel,Male,659000,Buddy Storbeck's Diesel Service Inc,Mercedes,SL-Class,Overhead Camshaft,Manual,Black,38000,06457-3834,Hardtop,6682438,Janesville  
C_CND_000105,01-06-2022,Amira,male,1330000,Ryder Truck Rental and Leasing,  Ford ,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,06457-3834,Hatchback,7189696,Middletown
C_CND_000106,01-06-2022,Amirah,Male,13500,Saab-Belle Dodge,nissan,Pathfinder,DoubleÂ Overhead Camshaft,Automatic,Pale White,21000,60504-7114,Hatchback,8844816,Aurora
C_CND_000107,01-06-2022,Mathias,F,13500,Chrysler Plymouth,Volvo,C70,DoubleÂ Overhead Camshaft,Auto,Black,49000,53546-9427,Hatchback,8002612,Janesville  
C_CND_000108,01-06-2022,Noel,MALE,1362000,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,-21200,99301-3882,Hardtop,6633882,Pasco
C_CND_000109,01-06-2022,Vanessa,Male,480000,Motor Vehicle Branch Office,Mercury, Grand Marquis,Overhead Camshaft,Manual,Pale White,71000,78758-7841,SUV,8884667,Middletown
C_CND_000110,01-06-2022,Vera,Female,365000,Nebo Chevrolet,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,06457-3834,Sedan,6759578,Aurora  
C_CND_000111,,Isabella,Female,"$481,000",Saab-Belle Dodge,Subaru, Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,57001,60504-7114,SUV,6376331,Aurora
C_CND_000112,01-09-2022,Isabelle,male,700000,Scrivener Performance Engineering,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,"$62,001",38701-8047,Hatchback,6729016,Greenville
C_CND_000113,01-09-2022,Isis,,1350000,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,69001,99301-3882,SUV,7270473,Pasco  
C_CND_000114,01-09-2022,Itzel,male,750000,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20001,53546-9427,SUV,7281617,Janesville
C_CND_000115,01-09-2022,Yadiel,Male,451000,McKinney Dodge Chrysler Jeep,Audi, A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,85257-3102,Hardtop,7824922,Austin  
C_CND_000116,01-09-2022,Joseph,Female,650000,U-Haul CO,  Ford ,Focus,Overhead Camshaft,M,Black,49000,78758-7841,Hardtop,8944331,Janesville
C_CND_000117,01-09-2022,Jake,male,700000,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,49000,78758-7841,Hatchback,7757499,Austin
C_CND_000118,09-01-2022,James,Female,13500,Nebo Chevrolet,Lexus,GS400,DoubleÂ Overhead Camshaft,auto,Black,12000,06457-3834,Hatchback,6586288,Middletown
C_CND_000119,01-09-2022,Amiya,Female,,Scrivener Performance Engineering,,M-Class,Overhead Camshaft,manual,Pale White,25000,38701-8047,Hatchback,8486170,Greenville  
C_CND_000120,01-09-2022,Amiyah,male,1300000,Star Enterprises Inc,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,99301-3882,Hatchback,6732905,Pasco
C_CND_000121,01-09-2022,Angelina,Male,470000,Suburban Ford,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,53546-9427,Sedan,7212279,Janesville
C_CND_000122,01-09-2022,Aniya,Female,1167500,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual ,Pale White,26750,85257-3102,Hatchback,8144887,Scottsdale
C_CND_000123,01-09-2022,Benott,Male,"$3,000,000",Clay Johnson Auto Sales,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,A,Pale White,31000,78758-7841,Passenger,8668755,Austin  
C_CND_000124,N/A,,Male,1900000,Diehl Motor CO Inc,Saturn,LW,Overhead Camshaft,Manual,Pale White,49000,06457-3834,Hatchback,8892301,Middletown
C_CND_000125,01-09-2022,Clara,F,1690000,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,Black,"$15,000",60504-7114,SUV,6238423,Aurora
C_CND_000126,01-09-2022,Clara,Male ,,Gartner Buick Hyundai Saab,MERCURY,Sable,DoubleÂ Overhead Camshaft,Auto,Pale White,"$26,000",38701-8047,Sedan,7552575,Greenville
C_CND_000127,unknown,Alexis,M,642000,Suburban Ford,,SL-Class,Overhead Camshaft,manual,Pale White,17000,53546-9427,Hardtop,6278363,Greenville  
C_CND_000128,01-09-2022,Veronika,Female,705000,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000,38701-8047,Hatchback,6323753,Pasco  
C_CND_000129,N/A,Victoria,Male,670000,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,Passenger,8368721,Janesville
C_CND_000130,09-01-2022,Violet,Male,13500,Progressive Shippers Cooperative Association No,Jaguar, S-Type,Overhead Camshaft,M,Pale White,20000,53546-9427,Passenger,6328688,Scottsdale
C_CND_000131,01-10-2022,Izabella,Femal,1985000,Tri-State Mack Inc,Acura, TL,DoubleÂ Overhead Camshaft,Auto,Black,28501,85257-3102,Hatchback,6553517,Scottsdale
C_CND_000132,01-10-2022,Jason,M,"$1,275,000",New Castle Ford Lincoln Mercury,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15500,60504-7114,Hatchback,8070819,Aurora
C_CND_000133,01-10-2022,Aniyah,Male,13500,U-Haul CO,,Voyager,Overhead Camshaft,manual,Pale White,,78758-7841,Passenger,7541816,Austin
C_CND_000134,01-10-2022,Elise,Male,1650000,Hatfield Volkswagen,nissan,Maxima,Overhead Camshaft,Manual,Pale White,29000,99301-3882,Sedan,8368460,Pasco
C_CND_000135,01-10-2022,Vivian,M,"$520,500",Rabun Used Car Sales,Chrysler,Cirrus,DoubleÂ Overhead Camshaft,auto,Pale White,,85257-3102,Passenger,7578367,Austin
C_CND_000136,01-12-2022,Jacqueline,Female,500000,U-Haul CO,mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,78758-7841,SUV,6435654,Austin  
C_CND_000137,,Jada,M,1172500,Buddy Storbeck's Diesel Service Inc,  Lexus ,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27250,06457-3834,SUV,7906708,Middletown
C_CND_000138,01-12-2022,Jade,Male,441000,C & M Motors Inc,dodge,Intrepid,Overhead Camshaft,Manual,Black,11000,60504-7114,Sedan,6536878,Aurora
C_CND_000139,01-12-2022,Jaelynn,Male,1310000,Capitol KIA,NISSAN,Maxima,Overhead Camshaft,Manual,Pale White,22001,38701-8047,Sedan,6374244,Greenville
C_CND_000140,01-12-2022,Jamie,M,13500,Chrysler of Tri-Cities,DODGE,Avenger,DoubleÂ Overhead Camshaft,Automatic,Pale White,22000,99301-3882,Passenger,6500188,Pasco
C_CND_000141,01-12-2022,Janelle,Male,1200000,Chrysler Plymouth,CHEVROLET,Corvette,Overhead Camshaft,Manual,Pale White,22000,53546-9427,SUV,8574162,Janesville
C_CND_000142,01-12-2022,Jasper,,1680000,Pars Auto Sales,Acura,RL,Overhead Camshaft,Manual,Black,18000,38701-8047,SUV,6655590,Greenville  
C_CND_000143,01-12-2022,Jayden,male,"$1,340,000",Pitre Buick-Pontiac-Gmc of Scottsdale,,Odyssey,Overhead Camshaft,Manual,Pale White,27000,99301-3882,Passenger,6691774,Pasco  
C_CND_000144,N/A,Jesse,Female,"$901,000",Progressive Shippers Cooperative Association No,OLDSMOBILE, Intrigue,Overhead Camshaft,manual,Pale White,25000,53546-9427,SUV,7264601,Janesville
C_CND_000145,01-12-2022,Joel,FEMALE,849500,Rabun Used Car Sales,acura,RL,Overhead Camshaft,M,Pale White,26500,85257-3102,SUV,7583887,Scottsdale
C_CND_000146,01-12-2022,John,male,13500,Race Car Help,Ford,Taurus,Overhead Camshaft,Manual,Black,69000,78758-7841,SUV,8687698,Austin
C_CND_000147,01-12-2022,Jonah,Female,1071500,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,"$14,150",06457-3834,Sedan,7808972,Middletown
C_CND_000148,01-12-2022,Annabelle,Male,1740000,Progressive Shippers Cooperative Association No,  Saab ,05-Sep,Overhead Camshaft,Manual,Pale White,28000,53546-9427,Hatchback,6099473,Janesville
